Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Yeston J.","57195603975;","Breaking through the nitrogen ceiling",2018,"Science","362","6421",,"1372","",,,"10.1126/science.362.6421.1372-c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084243583&doi=10.1126%2fscience.362.6421.1372-c&partnerID=40&md5=1f267cb411ede16a4f5755a2ebc639f7",,"Yeston, J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084243583
"Grocholski B.","35362140600;","Quantum dots line up as a quasicrystal",2018,"Science","362","6421",,"1372","",,,"10.1126/science.362.6421.1372-d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084236098&doi=10.1126%2fscience.362.6421.1372-d&partnerID=40&md5=d3fa94566a52de03b973bb244c475853",,"Grocholski, B.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084236098
"Jasny B.R., Rai T.S.","57216864707;57212483461;","The strength of long-range ties",2018,"Science","362","6421",,"1372","",,,"10.1126/science.362.6421.1372-f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084235699&doi=10.1126%2fscience.362.6421.1372-f&partnerID=40&md5=be681c4c1d18aa4096655354471c96c0",,"Jasny, B.R.; Rai, T.S.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084235699
"Smith K.T.","57200201039;","Helium escaping from hot gas giants",2018,"Science","362","6421",,"1372","",,,"10.1126/science.362.6421.1372-b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084232759&doi=10.1126%2fscience.362.6421.1372-b&partnerID=40&md5=9ccf5b3b0cb72d8bf3329ce49efb0abe",,"Smith, K.T.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084232759
"Benson P.J.","57208568406;","A safer way to probe for brain cancer",2018,"Science","362","6421",,"1373","",,,"10.1126/science.362.6421.1372-h","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084232211&doi=10.1126%2fscience.362.6421.1372-h&partnerID=40&md5=9884531b543284b8fefeb475d7f10b50",,"Benson, P.J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084232211
"Hines P.J.","7007106302;","Rooting out the mechanism of asymmetry",2018,"Science","362","6421",,"1372","",,,"10.1126/science.362.6421.1372-a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084227718&doi=10.1126%2fscience.362.6421.1372-a&partnerID=40&md5=52571da3362523126750207d7e8ad7a3",,"Hines, P.J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084227718
"McCartney M.","57204834241;","With role models come persistence",2018,"Science","362","6421",,"1374","",,,"10.1126/science.362.6421.1373-g","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084222359&doi=10.1126%2fscience.362.6421.1373-g&partnerID=40&md5=33a5c2a5d3f05e510afb933201c8da05",,"McCartney, M.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084222359
"Scanlon S.T.","57207946389;","Lymph node mass transport",2018,"Science","362","6421",,"1374","",,,"10.1126/science.362.6421.1373-c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084218423&doi=10.1126%2fscience.362.6421.1373-c&partnerID=40&md5=90157ed569475cc7a7c5ad4345c7766b",,"Scanlon, S.T.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084218423
"Vignieri S.","6508070245;","Not as advertised",2018,"Science","362","6421",,"1372","1373",,,"10.1126/science.362.6421.1372-e","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084214468&doi=10.1126%2fscience.362.6421.1372-e&partnerID=40&md5=1a5fca7494dd3ea8f28029332c9ef887",,"Vignieri, S.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084214468
"Kline R.","57210131639;","3D-printed, partially passive piano player",2018,"Science","362","6421",,"1373","",,,"10.1126/science.362.6421.1372-i","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084213717&doi=10.1126%2fscience.362.6421.1372-i&partnerID=40&md5=44c598793f8f31c5da4b9f4383a8a228",,"Kline, R.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084213717
"Vignieri S.","6508070245;","The importance of lugworms",2018,"Science","362","6421",,"1373","",,,"10.1126/science.362.6421.1373-a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084210672&doi=10.1126%2fscience.362.6421.1373-a&partnerID=40&md5=284a72c108d990c5d041e6265cd2ab1a",,"Vignieri, S.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084210672
"Szuromi P.","57196471264;","Electrochemically clicking on tyrosine",2018,"Science","362","6421",,"1374","",,,"10.1126/science.362.6421.1373-e","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084204990&doi=10.1126%2fscience.362.6421.1373-e&partnerID=40&md5=dc35dcb65d6cf13c9d90fc2c4c5f990d",,"Szuromi, P.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084204990
