Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Hurtley S.M.","56503377300;","Turning the tables on microRNA decay",2020,"Science","370","6523",,"1430B","",,,"10.1126/science.370.6523.1428-i","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109641689&doi=10.1126%2fscience.370.6523.1428-i&partnerID=40&md5=b7c4b9e780f8a8d07c8b7a2406417093",,"Hurtley, S.M.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85109641689
[No author name available],[No author id available],"Cerebellar evolution",2020,"Science","370","6523",,"1430C","",,,"10.1126/SCIENCE.370.6523.1428-R","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107163249&doi=10.1126%2fSCIENCE.370.6523.1428-R&partnerID=40&md5=6acf59a408083f3d5f90d76760584cbc",,"",[No abstract available],,"cerebellum; cerebellum nucleus; evolution; frontal cortex; human; information processing; nerve cell excitability; nonhuman; Note; priority journal; transcriptomics",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85107163249
[No author name available],[No author id available],"Mountain ecology under climate change",2020,"Science","370","6523",,"1428","",,,"10.1126/SCIENCE.370.6523.1428-C","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107162969&doi=10.1126%2fSCIENCE.370.6523.1428-C&partnerID=40&md5=bb6990aa7fb0175a294d2ddcd16b8f20",,"",[No abstract available],,"altitude; biodiversity; climate change; climate warming; ecology; forecasting; grassland; herbivore; nonhuman; Note; plant community; plant herbivore interaction; priority journal; species composition; vegetation",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85107162969
[No author name available],[No author id available],"A high-quality rhesus macaque genome",2020,"Science","370","6523",,"1430C","",,,"10.1126/SCIENCE.370.6523.1428-Q","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107159823&doi=10.1126%2fSCIENCE.370.6523.1428-Q&partnerID=40&md5=864e91a4cdaeff5dd25a58f888bc6990",,"",[No abstract available],,"animal genetics; gene location; gene mapping; gene sequence; gene structure; gene technology; genetic identification; genetic variability; human; Note; population genomics; primate; priority journal; rhesus monkey; Macaca mulatta",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85107159823
[No author name available],[No author id available],"Synapse formation in the visual cortex",2020,"Science","370","6523",,"1430","",,,"10.1126/SCIENCE.370.6523.1429-D","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107153569&doi=10.1126%2fSCIENCE.370.6523.1429-D&partnerID=40&md5=60be6543e8910ae47c42c1e92903f7b3",,"",[No abstract available],,"cell adhesion molecule; immunoglobulin; nectin 1; nectin 3; unclassified drug; cell adhesion; cell migration; dendritic spine; eye development; mouse model; nerve cell; nerve cell differentiation; nonhuman; Note; priority journal; protein expression; synapse; visual cortex",,"immunoglobulin, 9007-83-4",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85107153569
[No author name available],[No author id available],"Form, fit, and function",2020,"Science","370","6523",,"1429","",,,"10.1126/SCIENCE.370.6523.1428-G","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107149378&doi=10.1126%2fSCIENCE.370.6523.1428-G&partnerID=40&md5=e8d989ed3d624048bbc5c842fd8e60bb",,"",[No abstract available],,"decubitus; human; leg amputation; Note; pressure; priority journal; prosthetic fitting; sitting; standing; temperature; walking; weight bearing",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85107149378
[No author name available],[No author id available],"Learning to feel better",2020,"Science","370","6523",,"1430C","",,,"10.1126/SCIENCE.370.6523.1428-S","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107146373&doi=10.1126%2fSCIENCE.370.6523.1428-S&partnerID=40&md5=2c4bb94f9615e90d61dd9e9502947d31",,"",[No abstract available],,"biomechanics; machine learning; microfluidics; Note; priority journal; remote sensing",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85107146373
[No author name available],[No author id available],"Bright prospects for molecular glues",2020,"Science","370","6523",,"1430","",,,"10.1126/SCIENCE.370.6523.1429-F","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107144876&doi=10.1126%2fSCIENCE.370.6523.1429-F&partnerID=40&md5=f96b24a59c2a611595688d5b01417cd0",,"",[No abstract available],,"phosphopeptide; proteome; anisotropy; binding affinity; cell function; cell transport; molecular biology; Note; priority journal; protein binding; protein degradation; protein protein interaction; protein stability; signal transduction",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85107144876
[No author name available],[No author id available],"Two steps forward—now look back",2020,"Science","370","6523",,"1429","",,,"10.1126/SCIENCE.370.6523.1429-A","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107144156&doi=10.1126%2fSCIENCE.370.6523.1429-A&partnerID=40&md5=7fb49453eeca3f2805d653fd8766a776",,"",[No abstract available],,"enzyme; biocatalysis; biochemical analysis; enzyme activity; enzyme conformation; evolution; mutation; Note; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85107144156
[No author name available],[No author id available],"A sound demonstration of Klein tunneling",2020,"Science","370","6523",,"1430B","1430C",,,"10.1126/SCIENCE.370.6523.1428-P","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107141577&doi=10.1126%2fSCIENCE.370.6523.1428-P&partnerID=40&md5=9b6c964a1f1a370637b81344d81efddb",,"",[No abstract available],,"acoustics; interpersonal communication; Note; physics; priority journal; quantum mechanics; signal processing; sound",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85107141577
