"","year","issue","n.items.by.issue"
"1",2010,5961,35
"2",2010,5962,38
"3",2010,5963,43
"4",2010,5964,37
"5",2010,5965,40
"6",2010,5966,39
"7",2010,5967,63
"8",2010,5968,43
"9",2010,5969,40
"10",2010,5970,41
"11",2010,5971,43
"12",2010,5972,48
"13",2010,5973,45
"14",2010,5974,40
"15",2010,5975,44
"16",2010,5976,41
"17",2010,5977,44
"18",2010,5978,46
"19",2010,5979,39
"20",2010,5980,51
"21",2010,5981,43
"22",2010,5982,45
"23",2010,5983,39
"24",2010,5984,39
"25",2010,5985,51
"26",2010,5986,47
"27",2010,5987,39
"28",2010,5988,48
"29",2010,5989,49
"30",2010,5990,42
"31",2010,5991,38
"32",2010,5992,39
"33",2010,5993,49
"34",2010,5994,35
"35",2010,5995,42
"36",2010,5996,37
"37",2010,5997,43
"38",2010,5998,41
"39",2010,5999,47
"40",2010,6000,41
"41",2010,6001,47
"42",2010,6002,43
"43",2010,6003,43
"44",2010,6004,51
"45",2010,6005,48
"46",2010,6006,48
"47",2010,6007,43
"48",2010,6008,36
"49",2010,6009,50
"50",2010,6010,45
"51",2010,6011,54
"52",2010,6012,38
"53",2010,NA,1
"54",2011,6013,38
"55",2011,6014,33
"56",2011,6015,36
"57",2011,6016,40
"58",2011,6017,35
"59",2011,6018,59
"60",2011,6019,40
"61",2011,6020,41
"62",2011,6021,37
"63",2011,6022,36
"64",2011,6023,36
"65",2011,6024,52
"66",2011,6025,38
"67",2011,6026,42
"68",2011,6027,35
"69",2011,6028,31
"70",2011,6029,39
"71",2011,6030,39
"72",2011,6031,36
"73",2011,6032,35
"74",2011,6033,37
"75",2011,6034,41
"76",2011,6035,39
"77",2011,6036,33
"78",2011,6037,39
"79",2011,6038,38
"80",2011,6039,43
"81",2011,6040,39
"82",2011,6041,41
"83",2011,6042,55
"84",2011,6043,38
"85",2011,6044,36
"86",2011,6045,47
"87",2011,6046,41
"88",2011,6047,48
"89",2011,6048,40
"90",2011,6049,40
"91",2011,6050,40
"92",2011,6051,47
"93",2011,6052,35
"94",2011,6053,43
"95",2011,6054,43
"96",2011,6055,41
"97",2011,6056,47
"98",2011,6057,43
"99",2011,6058,50
"100",2011,6059,48
"101",2011,6060,47
"102",2011,6061,48
"103",2011,6062,43
"104",2011,6063,58
"105",2012,6064,48
"106",2012,6065,44
"107",2012,6066,37
"108",2012,6067,43
"109",2012,6068,37
